dimension,pantalla,nombre_interno,estado,meta_similitud,referencia,escena_o_prefab,generador,prueba_principal,captura_aprobada,notas
D1,Frontera Silenciosa,D1_SilentFrontierDetailVisualRoot,lista_revision,95%,sin_referencia_especifica_usa_familia_ORBITAS_ANTIGUAS,Assets/Project/Scenes/Main.unity,Dimension1SectorDetailsSetup.Install,Dimension1SectorDetailsCapture.Run,10_PANTALLAS/DIMENSION_1/FRONTERA_SILENCIOSA/CAPTURAS_CANDIDATAS,Sector 4; cabecera y márgenes corregidos; estados reales; pruebas y capturas 1080/720 PASS; P6 y P7 conservan sprite compartido hasta existir asset distinto aprobado
D1,Inventario de Metales,D1_MetalsInventoryRoot,lista_revision,95%,05_REFERENCIAS/DIMENSION_1/INVENTARIO_METALES,Assets/Project/Scenes/Main.unity,Dimension1MetalsInventorySetup.Install,Dimension1MetalsInventoryCapture.Run,10_PANTALLAS/DIMENSION_1/INVENTARIO_METALES/CAPTURA_CANDIDATA_1080x1920.png,Subpantalla de diez metales; aprobación visual pendiente
D1,Expedición Completada,D1_ExpeditionResultVisualRoot,lista_revision,95%,05_REFERENCIAS/DIMENSION_1/EXPEDICION_COMPLETADA,Assets/Project/Scenes/Main.unity,Dimension1ExpeditionResultSetup.Install,Dimension1ExpeditionResultCapture.Run,10_PANTALLAS/DIMENSION_1/EXPEDICION_COMPLETADA/CAPTURA_CANDIDATA_1080x1920.png,Resultado 0-4 metales y estados reales; cola simultánea corregida y dos modales preservados en orden; prueba física PASS; aprobación visual pendiente
D1,Registro de Expediciones,D1_ExpeditionRecordVisualRoot,lista_revision,95%,05_REFERENCIAS/DIMENSION_1/REGISTRO_EXPEDICIONES,Assets/Project/Scenes/Main.unity,Dimension1ExpeditionRecordSetup.Install,Dimension1ExpeditionRecordCapture.Run,10_PANTALLAS/DIMENSION_1/REGISTRO_EXPEDICIONES/CAPTURA_CANDIDATA_1080x1920.png,Historial de 20 expediciones más entrada ARK; acceso y retorno físicos incluidos en recorrido 14/14 PASS; aprobación visual pendiente
D1,ARK Centro Galáctico,D1_ARK_CENTRO_GALACTICO,lista_revision,95%,05_REFERENCIAS/DIMENSION_1/ARK_CENTRO_GALACTICO,Assets/Project/Scenes/Main.unity,Dimension1ArkUISetup.Install,Dimension1ArkCapture.Run,10_PANTALLAS/DIMENSION_1/ARK_CENTRO_GALACTICO/CAPTURAS_CANDIDATAS,Ruta física Carta > Centro > ARK restaurada; marco compartido sin navegación inferior; investigar/volver/reabrir PASS; capturas 1080/720 nuevas; aprobación visual pendiente
D2,Primera entrada a los Pactos,D2_FirstEntry,implementada_validada_aprobada,95%,05_REFERENCIAS/DIMENSION_2/PRIMERA_ENTRADA_2026-08-24/REFERENCIA_ELEGIDA_D2_PRIMERA_ENTRADA_2026-08-24.png,Assets/Project/Scenes/Main.unity,Dimension2Block1UISetup.ConfigureBlock1UI,Dimension2FirstEntryCapture.Run,06_CAPTURAS_APROBADAS/DIMENSION_2/PRIMERA_ENTRADA,Introducción real validada en 1080x1920 y 720x1280; ABRIR MAPA conectado; cierre aprobado el 4 de septiembre de 2026
D2,Mapa de los Pactos,D2_PactMap,implementada_validada_aprobada,95%,05_REFERENCIAS/DIMENSION_2/CORREGIDAS_V4_2026-08-21/01_Mapa_De_Los_Pactos_Corregido_V5.png,Assets/Project/Scenes/Main.unity,Dimension2Block1UISetup.ConfigureBlock1UI,Dimension2FirstEntryCapture.Run,06_CAPTURAS_APROBADAS/DIMENSION_2/MAPA_DE_LOS_PACTOS,Tres territorios visibles; Ruinas Sepultadas bloqueada según Dominio; navegación y datos reales; cierre aprobado
D2,Santuario,D2_Civilization1,implementada_validada_aprobada,95%,05_REFERENCIAS/DIMENSION_2/CORREGIDAS_V4_2026-08-21,Assets/Project/Scenes/Main.unity,Dimension2Block1UISetup.ConfigureBlock1UI,validadores_D2_bloques_1_y_2,06_CAPTURAS_APROBADAS/DIMENSION_2,Refugio y secciones 03-08 implementadas con estados acciones navegación y datos reales; cierre aprobado
D2,Resistencia,D2_Civilization2,implementada_validada_aprobada,95%,05_REFERENCIAS/DIMENSION_2/CORREGIDAS_V4_2026-08-21,Assets/Project/Scenes/Main.unity,Dimension2Block1UISetup.ConfigureBlock1UI,validadores_D2_bloques_3_y_4,06_CAPTURAS_APROBADAS/DIMENSION_2,Secciones 09-15 implementadas con estados previos y posteriores acciones persistencia y navegación; cierre aprobado
D2,Arqueología y Ente,D2_Civilization3,implementada_validada_aprobada,95%,05_REFERENCIAS/DIMENSION_2/CORREGIDAS_V4_2026-08-21,Assets/Project/Scenes/Main.unity,Dimension2Block1UISetup.ConfigureBlock1UI,validadores_D2_bloque_5,06_CAPTURAS_APROBADAS/DIMENSION_2,Secciones 16-20 implementadas con acciones persistencia y navegación; cierre aprobado el 4 de septiembre de 2026
D3,Planta de Producción,D3_PLANTA_PRODUCCION,composicion_estatica_aprobada,95%,05_REFERENCIAS/DIMENSION_3/PLANTA_PRODUCCION,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,10_PANTALLAS/DIMENSION_3/PLANTA_PRODUCCION/CANDIDATA_PLANTA_PRODUCCION_CORREGIDA_V2_1080x1920.png,Diseño aprobado por usuario; implementación pendiente
D3,Taller de Ingeniería,D3_TALLER_CALIBRACION,lista_revision,95%,05_REFERENCIAS/DIMENSION_3/PAQUETE_CANDIDATO_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,pendiente,Candidata corregida V1
D3,Sala de Control,D3_SALA_CONTROL_NUCLEO,lista_revision,95%,05_REFERENCIAS/DIMENSION_3/PAQUETE_CANDIDATO_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,pendiente,Candidata corregida V1
D3,Autómatas,D3_AUTOMATAS,lista_revision,95%,05_REFERENCIAS/DIMENSION_3/PAQUETE_CANDIDATO_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,pendiente,Candidata corregida V1
D3,Investigación,D3_INVESTIGACION,lista_revision,95%,05_REFERENCIAS/DIMENSION_3/PAQUETE_CANDIDATO_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,pendiente,Candidata corregida V1
D3,Construcción y mejoras,D3_INSTALACIONES,lista_revision,95%,05_REFERENCIAS/DIMENSION_3/PAQUETE_CANDIDATO_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,pendiente,Candidata corregida V1
D3,Consola,D3_CONSOLA,lista_revision,95%,05_REFERENCIAS/DIMENSION_3/PAQUETE_CANDIDATO_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,pendiente,Candidata corregida V1
D3,Diagnóstico,D3_DIAGNOSTICO,lista_revision,95%,05_REFERENCIAS/DIMENSION_3/PAQUETE_CANDIDATO_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,pendiente,Candidata corregida V1
D3,Puerto de Expediciones,D3_PUERTO,lista_revision,95%,05_REFERENCIAS/DIMENSION_3/PAQUETE_CANDIDATO_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,pendiente,Candidata corregida V1
D3,Rutinas,D3_RUTINAS,lista_revision,95%,05_REFERENCIAS/DIMENSION_3/PAQUETE_CANDIDATO_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,pendiente,Candidata corregida V1
D3,Colas de Producción,D3_COLAS,lista_revision,95%,05_REFERENCIAS/DIMENSION_3/PAQUETE_CANDIDATO_2026-08-19,pendiente_verificacion_Unity,no_aplica_fase_visual,revision_candidata_1080_y_720,pendiente,Candidata corregida V1
