id,tema,alcance,regla_resumida,prevencion,prueba_minima,estado
UI-GEN-011,riesgo,general,Prototipar primero la incertidumbre que invalidaría más trabajo,Ordenar riesgos antes del arte o contenido definitivo,Demostrar el riesgo principal con una unidad mínima,CONSOLIDADO
UI-GEN-012,iteracion,general,Cambiar una categoría visual o funcional por ciclo,Conservar causalidad entre cambio y resultado,Comparar evidencia antes y después,CONSOLIDADO
UI-GEN-013,terminado,general,Terminado exige criterios observables y evidencia vigente,Definir la puerta y sincronizar ficha matriz registro y archivo de capturas al cerrar,Recorrer la lista de terminado y comprobar que todas las fuentes declaran el mismo estado,CONSOLIDADO
UI-GEN-014,regresion_visual,general,Una referencia aprobada no se actualiza para ocultar un fallo,Separar cambios intencionales de regresiones,Comparar imagen completa y regiones críticas,CONSOLIDADO
UI-UGUI-003,transicion,Unity UGUI,El destino se prepara antes de desvanecer el origen,Coordinar capas con un tiempo común y estado final explícito,Capturar 0 25 50 75 y 100 por ciento,CONSOLIDADO
UI-UGUI-004,raster,Unity UGUI,Un raster conserva su proporción y decide contener o cubrir,Usar máscara y pivote consciente al cubrir,Probar encuadre y apoyo en aspectos objetivo,CONSOLIDADO
UI-MOB-003,perfilado,Android,El Editor no sustituye el dispositivo final,Definir presupuesto y medir una sesión sostenida,Comparar CPU GPU memoria cadencia y calor,CONSOLIDADO
UI-GEN-015,autoridad_geometrica,general,No mover un objeto aprobado para compensar un entorno incorrecto,Bloquear su composición e identificar el propietario real del marco apoyo o recorte,Comparar límites apoyo y oclusión contra la referencia bloqueada,CONSOLIDADO
UI-GEN-016,alineacion_optica,general,Centrar la huella visible del bloque y no sólo las cajas de sus hijos,Tratar símbolo rótulo y número como una unidad con retícula centro y líneas visuales comunes,Revisar cada bloque con guías en el render final y en todas las resoluciones objetivo,CONSOLIDADO
UI-GEN-017,contrato_asset,general,Cada asset declara si es elemento completo capa interior o composición modular,Definir capas propietarios y orden antes de integrar,Ocultar capas una por una y comprobar que cada superficie exista exactamente una vez,CONSOLIDADO
UI-GEN-018,geometria_familia,general,Las variantes de una familia comparten una plantilla geométrica maestra,Bloquear marco máscara márgenes y zonas reservadas antes de producir el lote,Comparar todas las variantes mediante cuadrícula y superposición de límites,CONSOLIDADO
UI-GEN-019,zona_reservada,general,Una colocación global sólo sirve cuando las zonas reservadas son geométricamente equivalentes,Definir un perfil de colocación por familia o marco,Probar glifos extremos y recortes críticos en cada familia,CONSOLIDADO
UI-GEN-020,produccion_lote,general,Aprobar una unidad representativa antes de producir una colección completa,Elegir la variante con mayor riesgo visual o técnico,Capturar la unidad dentro del producto antes de ejecutar el lote,CONSOLIDADO
UI-GEN-021,cobertura_coleccion,general,Una variante correcta no demuestra consistencia de toda la colección,Revisar cuadrícula completa recortes críticos y render real,Comparar proporción marco márgenes estilo y capas de todas las variantes,CONSOLIDADO
UI-GEN-022,proporcion_contenido,general,Normalizar el lienzo sin deformar la ilustración,Conservar relación de aspecto y elegir contener cubrir o recortar,Comparar silueta rostro y puntos de apoyo antes y después,CONSOLIDADO
UI-GEN-023,cardinalidad_visual,general,Una imagen generativa no garantiza cantidades exactas,Separar arte decorativo de rangos cifras palos y símbolos deterministas,Contar automáticamente y revisar visualmente cada resultado al 100 por ciento,CONSOLIDADO
UI-GEN-024,patron_numerico,general,Cada valor finito necesita un patrón canónico explícito,Registrar posiciones orientación y criterio de conteo antes de producir,Comparar cantidad esperada y producida para cada variante,CONSOLIDADO
UI-GEN-025,composicion_capas,general,Una superficie visual debe tener una sola capa propietaria,Sustituir la capa incorrecta en vez de cubrirla con otra composición completa,Inspeccionar alfa bordes fondos marcos e índices por separado,CONSOLIDADO
UI-GEN-026,continuidad_retoque,general,Un parche no debe revelar su forma ni tapar el arte aprobado,Reconstruir desde capas fuente con máscara y transición controlada,Revisar ampliaciones buscando rectángulos halos costuras y cambios de textura,CONSOLIDADO
UI-GEN-027,lamina_contacto,general,La lámina de revisión se ensambla desde unidades aprobadas,Evitar que una regeneración reinterpretativa vuelva a dibujar las celdas,Verificar cada celda contra su asset fuente y revisar la cuadrícula completa,CONSOLIDADO
UI-GEN-028,propiedad_indices,general,Rangos cifras y palos tienen un único propietario,Decidir si están horneados o se dibujan dinámicamente y evitar mezclas,Ocultar capas y confirmar una sola instancia de cada índice,CONSOLIDADO
UI-GEN-029,alcance_correccion,general,Una corrección conserva todas las categorías aprobadas fuera de su alcance,Bloquear fondo marco detalle proporción y contenido no afectados,Comparar antes y después mediante una lista de invariantes,CONSOLIDADO
UI-GEN-030,inventario_celdas,general,Una cuadrícula necesita un contrato de contenido por celda,Definir tema tipo rango palo orientación y cantidad esperados,Recorrer todas las celdas y registrar PASS individual,CONSOLIDADO
UI-GEN-031,contenedor_indice,general,Un índice simple no recibe círculo placa cápsula o fondo decorativo por defecto,Probar primero el glifo solo y añadir soporte únicamente por lenguaje aprobado o necesidad medida de contraste,Comparar a tamaño real sin soporte y con el soporte mínimo verificando que no invada marco u ornamento,CONSOLIDADO
UI-GEN-032,puerta_aceptacion,general,Ningún entregable se cierra con criterios omitidos o evidencia obsoleta,Evaluar el núcleo universal y módulos aplicables mediante un registro bloqueante,Ejecutar el validador por fase y exigir código de salida cero,CONSOLIDADO
UI-GEN-033,clasificacion_perfiles,general,Un perfil de colocación se elige por la estructura visible del bloque y no por un valor literal aislado,Clasificar rango solo rango más palo texto más icono u otras estructuras equivalentes,Probar glifos anchos y estrechos y afirmar dimensiones y centro de la zona antes de guardar,CONSOLIDADO
UI-GEN-034,validacion_visual_independiente,general,Un validador no demuestra la salida si reutiliza como resultado las mismas constantes que la generaron,Separar generación y auditoría y medir huella centro límites y conteo directamente en el render,Probar una fixture válida y fixtures desplazadas faltantes y adicionales exigiendo bloqueo antes de guardar,CONSOLIDADO
UI-GEN-035,topologia_patron,general,Un conteo correcto y un centro promedio correcto no garantizan una distribución visual correcta,Declarar firma de filas o columnas separación mínima y simetría junto con la cantidad,Rechazar fixtures con igual conteo y centro pero topología zigzag amontonada o asimétrica,CONSOLIDADO
UI-GEN-036,ocupacion_bloque_compuesto,general,Centrar rango más palo no evita que sus partes queden pegadas a los extremos,Definir un máximo de ocupación visible y una separación interna compacta por perfil,Medir tinta visible sobre hueco visible y bloquear una fixture extendida,CONSOLIDADO
UI-GEN-037,cobertura_rangos_numericos,general,Validar sólo los valores mostrados en una propuesta deja sin defensa las demás cartas de la baraja,Mantener una matriz canónica completa del As al 10 para los cuatro palos,Inventariar las cuarenta combinaciones y exigir PASS individual antes del lote o integración,CONSOLIDADO
UI-GEN-038,orientacion_palos,general,Un conteo y patrón correctos todavía pueden mostrar símbolos inferiores al revés,Declarar orientación por posición y rotar 180 grados la mitad inferior,Rechazar una fixture con orientación inferior incorrecta para cada patrón aplicable,CONSOLIDADO
UI-GEN-039,separacion_interna_indice,general,Centrar el bloque rango más palo no garantiza aire entre sus dos huellas,Definir una separación interna visible mínima por perfil y exigir el mismo resultado en ambas esquinas,Medir A-10 y J Q K a tamaño móvil y rechazar una fixture pegada o solapada,CONSOLIDADO
UI-GEN-040,ocupacion_patron_por_marco,general,Un patrón puede tener cantidad topología y centro correctos pero quedar amontonado porque el marco no reservó su huella,Medir la ocupación universal fija contra el campo útil independiente y rediseñar el marco cuando no la contenga,Rechazar una fixture cuyo marco intente rescatarse trasladando o escalando el patrón,CONSOLIDADO
UI-GEN-041,aire_lateral_rango_indice,general,Un rango puede tener su contenedor centrado y aun tocar los bordes visibles del hueco,Medir la tinta visible y aplicar escala horizontal propia a Q K 10 u otros rangos anchos sin cambiar su altura,Rechazar la fixture sin escala cuando exceda la ocupación máxima o su centro óptico se desplace,CONSOLIDADO
UI-GEN-042,cobertura_optica_indice_compuesto,general,Un PASS parcial puede ocultar rangos o palos descentrados aunque las coordenadas matemáticas sean correctas,Capturar full rango solo palo solo y limpio para A-10 J Q K en los cuatro palos y medir el bloque visible completo en ambas esquinas,Bloquear cobertura incompleta N/A ajuste aislado deriva horizontal o vertical separación menor a 4 px salida del hueco o equivalencia rotada incorrecta,CONSOLIDADO
UI-GEN-043,integracion_retrato_marco,general,Un retrato rectangular colocado sobre la carta puede tapar el marco y parecer una capa pegada,Componer figuras sólo mediante la máscara conectada del campo interior y conservar el marco como capa frontal,Comparar cambios contra la máscara y bloquear cualquier píxel modificado fuera del campo además de revisar la unión ampliada,CONSOLIDADO
UI-GEN-044,costura_figura_doble,general,Un fundido alfa entre dos figuras espejadas puede revelar una franja blanca o niebla central,Resolver la doble orientación como arte continuo con un nudo oscuro y sin revelar el fondo claro en el ecuador,Medir la banda central y bloquear más de 8 por ciento de píxeles pálidos o un tramo pálido continuo mayor a 10 por ciento del ancho útil,CONSOLIDADO
UI-GEN-045,orden_geometria_marco,general,Diseñar el marco antes de medir contenido universal obliga a encoger desplazar o recortar elementos aprobados,Inventariar y medir fixtures extremas bloquear campo y zonas reservadas y aprobar una prueba geométrica limpia antes del arte,Rechazar marcos que invadan zonas bloqueadas y fixtures donde el contenido extremo no quepa a escala final,CONSOLIDADO
UI-GEN-046,escala_visible_palo_indice,general,Un símbolo puede cumplir el contenedor y aun ser demasiado pequeño en la escala real,Exigir en temas nuevos o modificados una altura de tinta visible mínima del 8.4 por ciento del ancho de carta,Rechazar automáticamente una fixture reducida al 6.25 por ciento aunque permanezca centrada,CONSOLIDADO
UI-GEN-047,simetria_huecos_renderizados,general,Declarar rectángulos simétricos no demuestra que los huecos pintados tengan el mismo tamaño,Detectar los dos huecos en el render y comparar ancho alto centro y contraparte rotada,Rechazar diferencias mayores a un píxel y cualquier hueco inferior que no corresponda al superior tras 180 grados,CONSOLIDADO
UI-GEN-048,geometria_universal_inmutable,general,Permitir que cada marco traslade o escale contenido universal vuelve variables posiciones y tamaños ya aprobados,Bloquear un maestro con hash y construir todos los marcos alrededor de sus zonas reservadas,Rechazar cualquier override de centro escala tamaño o posición y todo marco basado en un hash pendiente o cambiado,CONSOLIDADO
UI-GEN-049,alcance_tematizacion,general,Una identidad temática distinta no autoriza cambiar el shell común ni sustituir componentes universales,Congelar cabecera barra acciones navegación y maestros aprobados antes de producir el concepto,Comparar contra captura vigente y rechazar cambios comunes o hashes universales ausentes,CONSOLIDADO
UI-GEN-050,exclusividad_global_unity_batch,general,Procesos Unity simultáneos o pruebas antiguas de Hub pueden provocar fallos de licencia caché y paquetes ajenos al código,Ejecutar un preflight global y esperar sin terminar procesos ajenos,Bloquear ante cualquier Unity.exe Hub con runTests o UnityLockfile y pasar sólo al quedar el entorno libre,CONSOLIDADO
UI-GEN-051,perfil_flags_unity_batch,general,Flags batch incompatibles pueden ocultar paquetes cerrar pruebas antes del XML o inutilizar el render,Separar perfiles de compilación pruebas y captura y prohibir combinaciones inseguras,Comprobar ausencia de noUpm cuando hay paquetes de quit junto a runTests y de nographics para evidencia visual,CONSOLIDADO
UI-GEN-052,validez_informativa_captura,general,La existencia y tamaño de una imagen no demuestran que Unity haya renderizado la pantalla,Medir resolución entropía variación tonal color y regiones obligatorias,Rechazar fixtures planas grises vacías o sin las capas visuales exigidas,CONSOLIDADO
UI-GEN-053,matriz_completitud_global,general,Un subtotal correcto puede confundirse con el cierre de toda una colección,Enumerar cada unidad y cada dimensión de entrega en una matriz canónica,Bloquear faltantes duplicados estados pendientes y cualquier cobertura inferior al total esperado,CONSOLIDADO
UI-GEN-054,reanudacion_sin_deriva,general,Una pausa puede dejar evidencia procesos o fuentes desactualizados,Comparar fecha hashes procesos y locks antes de continuar y repetir validadores rápidos,Bloquear la reutilización de pruebas costosas si cambió cualquiera de sus fuentes,CONSOLIDADO
