dimension,concepto,nombre_visible,tipo,ruta_asset,estado,fuente_aprobacion,notas
D2,primera_entrada_hero,Ilustración ceremonial de primera entrada,sprite,Assets/Project/UI/Dimension2/FirstEntry/Generated/D2_FirstEntry_Hero_v1.png,candidato,referencia visual elegida 2026-08-24,Capa limpia sin texto marcos ni UI; derivada en modo edición y pendiente de aprobación visual final
D2,primera_entrada_marcos,Marcos ornamentales de primera entrada,textura_atlas,Assets/Project/UI/Dimension2/FirstEntry/Generated/D2_FirstEntry_FrameAtlas_v2.png,candidato,referencia visual elegida 2026-08-24,Título hero y relato usan recortes UV separados; sin texto funcional
D2,primera_entrada_boton,Placa ornamental ABRIR MAPA,textura,Assets/Project/UI/Dimension2/FirstEntry/Generated/D2_FirstEntry_ButtonPlate_v2.png,candidato,referencia visual elegida 2026-08-24,Placa sin texto; el texto y la interacción permanecen en UGUI y TMP
D2,primera_entrada_marco_exterior,Marco exterior ornamental,textura,Assets/Project/UI/Dimension2/FirstEntry/Generated/D2_FirstEntry_OuterFrame_v2.png,candidato,referencia visual elegida 2026-08-24,Marco esquinas y remates separados del contenido
COMUN,maquina_monolito_fondo_cercano,Laboratorio humano cercano del Monolito,textura_fondo,Assets/Project/UI/Vertical/Machine/Monolith2D/machine_destroyed_lab_close_dolly_square_v18.png,asset_produccion_aprobado,aprobación final V25/V26 por el usuario 2026-08-26,Capa cuadrada sin Monolito nodos texto ni UI; integrada en las cuatro caras V25 y el paralaje V26 aprobados; evidencia archivada en 06_CAPTURAS_APROBADAS
COMUN,maquina_monolito_fondo_general_v32,Laboratorio con alojamiento exacto del Monolito,textura_fondo,Assets/Project/UI/Vertical/Machine/Monolith2D/machine_destroyed_lab_exact_footprint_cradle_square_v32.png,sustituido,corrección explícita del usuario 2026-08-27,Rechazado: el hueco frontal seguía siendo más estrecho que la huella proyectada
COMUN,maquina_monolito_cara_1_v32,Cara 1 con daño perimetral,textura_atlas,Assets/Project/UI/Vertical/Machine/Monolith2D/monolith_sector_1_perimeter_damage_progression_v32.png,sustituido,corrección explícita del usuario 2026-08-27,Rechazada: marco interior con lectura de tapa cerrada
COMUN,maquina_monolito_cara_2_v32,Cara 2 con daño perimetral,textura_atlas,Assets/Project/UI/Vertical/Machine/Monolith2D/monolith_sector_2_perimeter_damage_progression_v32.png,sustituido,corrección explícita del usuario 2026-08-27,Superficie reutilizada mediante copia versionada V33 y layout seguro nuevo
COMUN,maquina_monolito_cara_3_v32,Cara 3 con daño perimetral,textura_atlas,Assets/Project/UI/Vertical/Machine/Monolith2D/monolith_sector_3_perimeter_damage_progression_v32.png,sustituido,corrección explícita del usuario 2026-08-27,Rechazada: marco interior con lectura de tapa cerrada
COMUN,maquina_monolito_cara_4_v32,Cara 4 reservada con daño perimetral,textura_atlas,Assets/Project/UI/Vertical/Machine/Monolith2D/monolith_sector_4_perimeter_damage_progression_v32.png,sustituido,corrección explícita del usuario 2026-08-27,Rechazada: orientación física de lado derecho en un sector inferior izquierdo
COMUN,maquina_monolito_fondo_general_v34,Laboratorio con alojamiento ancho del Monolito,textura_fondo,Assets/Project/UI/Vertical/Machine/Monolith2D/machine_destroyed_lab_monolith_wide_socket_square_v34.png,candidato,corrección explícita del usuario 2026-08-27,Guías fuera de la huella base cama central ancha y borde frontal separado; pendiente de aprobación visual
COMUN,maquina_monolito_cara_1_v33,Cara 1 abierta superior izquierda,textura_atlas,Assets/Project/UI/Vertical/Machine/Monolith2D/monolith_sector_1_open_surface_progression_v33.png,candidato,corrección explícita del usuario 2026-08-27,Superficie expuesta continua columna central a la derecha y daño sólo perimetral
COMUN,maquina_monolito_cara_2_v33,Cara 2 abierta inferior derecha,textura_atlas,Assets/Project/UI/Vertical/Machine/Monolith2D/monolith_sector_2_open_surface_progression_v33.png,candidato,corrección explícita del usuario 2026-08-27,Superficie V32 conservada con once firmas redistribuidas dentro de zona segura
COMUN,maquina_monolito_cara_3_v33,Cara 3 abierta superior derecha,textura_atlas,Assets/Project/UI/Vertical/Machine/Monolith2D/monolith_sector_3_open_surface_progression_v33.png,candidato,corrección explícita del usuario 2026-08-27,Superficie expuesta continua columna central a la izquierda y daño sólo perimetral
COMUN,maquina_monolito_cara_4_v33,Cara 4 abierta inferior izquierda reservada,textura_atlas,Assets/Project/UI/Vertical/Machine/Monolith2D/monolith_sector_4_open_surface_progression_v33.png,candidato,corrección explícita del usuario 2026-08-27,Orientación inferior izquierda columna central a la derecha cero nodos y marcador Unity separado
